Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
"Dice.dice_hard/importance/random-fu sampler/50304",0.16029508519568808,0.15948354387957098,0.16117344274102674,1.8683910222012088e-3,1.3460031322091626e-3,2.666309977684464e-3
"Dice.dice_hard/importance/random-fu sampler/57344",0.182959317043966,0.18130391986474895,0.1849515756581573,3.946473371186834e-3,2.5747912362502593e-3,7.168481438624761e-3
"Dice.dice_hard/importance/random-fu sampler/64384",0.20560536558462775,0.20411511945985544,0.20738551430731048,3.268347604151287e-3,2.029517254883079e-3,5.530000288068615e-3
"Dice.dice_hard/smc/monad-bayes sampler/1024",3.0683746517118082e-2,3.0624443814487378e-2,3.0838122675904255e-2,3.045450675746663e-4,1.4562411401444368e-4,6.068254614076812e-4
"Dice.dice_hard/smc/monad-bayes sampler/8064",0.2423980849934246,0.24146254797965536,0.24400297006178015,2.3998747783628917e-3,1.4436081737481414e-3,3.8379964812141477e-3
"Dice.dice_hard/smc/monad-bayes sampler/15104",0.4510213766008939,0.4499480468517384,0.4523651545039896,1.9940259755968095e-3,1.2240609329137928e-3,2.9454582218387806e-3
"Dice.dice_hard/smc/monad-bayes sampler/22144",0.6604730654377894,0.6586882632204076,0.6629564628589476,3.262874122646918e-3,2.0867268746335185e-3,4.465056868082779e-3
"Dice.dice_hard/smc/monad-bayes sampler/29184",0.8725531193914567,0.869741835913819,0.874703998816607,3.3104906862459955e-3,1.861543629932711e-3,4.6017189341107986e-3
"Dice.dice_hard/smc/monad-bayes sampler/36224",1.083166310086519,1.0805533861245586,1.0867196471201337,3.7958699056978382e-3,1.9157646066211558e-3,5.305034985398308e-3
"Dice.dice_hard/smc/monad-bayes sampler/43264",1.2916002648143983,1.2860577691664408,1.2966040568239927,6.884339410350879e-3,3.5649895373906196e-3,9.798719107534753e-3
"Dice.dice_hard/smc/monad-bayes sampler/50304",1.4982290243375296,1.4952270068695133,1.5000257384505855,2.8826186744918612e-3,1.4259566853150176e-3,3.69406529346776e-3
"Dice.dice_hard/smc/monad-bayes sampler/57344",1.7127004707631435,1.7046367164359892,1.7184612200082265,7.876461740099525e-3,2.700661882636246e-3,1.0661552404241256e-2
"Dice.dice_hard/smc/monad-bayes sampler/64384",2.2220505049268238,2.1870810964715997,2.242943145304047,3.196358717321429e-2,0.0,3.6187114637615765e-2
"Dice.dice_hard/smc/random-fu sampler/1024",2.3037806033750666e-2,2.2800968639723914e-2,2.3407804406317876e-2,9.909333076656252e-4,6.836450530760331e-4,1.3905141634650978e-3
"Dice.dice_hard/smc/random-fu sampler/8064",0.18224761506868656,0.181891644405794,0.18255506479507533,7.188332888441274e-4,5.029575078084372e-4,1.0507689914683784e-3
"Dice.dice_hard/smc/random-fu sampler/15104",0.34217569782053164,0.341013826348815,0.34288602872865104,1.5969009849291053e-3,8.564407278710701e-4,2.7201269233419834e-3
"Dice.dice_hard/smc/random-fu sampler/22144",0.49789367367499904,0.49590551449125886,0.49939424135764443,2.6816316849625427e-3,1.7773091478455207e-3,4.115144646884372e-3
"Dice.dice_hard/smc/random-fu sampler/29184",0.659567209072474,0.6588969923062177,0.6606718896840365,1.3168005926701258e-3,6.778833983590774e-4,1.966169881070188e-3
"Dice.dice_hard/smc/random-fu sampler/36224",0.8225282750333917,0.8206044901599583,0.8257241992633207,3.5573115083191425e-3,1.617851626136703e-3,5.542412699091633e-3
"Dice.dice_hard/smc/random-fu sampler/43264",0.9828149794163625,0.9810458656476594,0.9862668463997396,3.3121130207362775e-3,1.0654967069589458e-3,4.624048296597279e-3
"Dice.dice_hard/smc/random-fu sampler/50304",1.136430811230474,1.1315169201240196,1.138172284544228,3.7211006148341382e-3,2.403419476654858e-4,4.723146680578916e-3
"Dice.dice_hard/smc/random-fu sampler/57344",1.3006230192299626,1.2962128128632004,1.3058190229321274,6.258941092305063e-3,4.19487237772291e-3,8.336391566229248e-3
"Dice.dice_hard/smc/random-fu sampler/64384",1.4581143275749178,1.4493945962071042,1.4618104154745086,6.449922967706063e-3,2.0574714608943e-3,8.535749375109208e-3
"Dice.dice_hard/mh by time/monad-bayes sampler/1024",2.6616681548294736e-2,2.655461444084956e-2,2.6678043111316437e-2,2.0953775573177467e-4,1.7360344277154215e-4,2.7194589398696177e-4
"Dice.dice_hard/mh by time/monad-bayes sampler/8064",0.20874913939340878,0.20815287142911626,0.20933426386289877,1.241325003144003e-3,9.117129905525096e-4,1.779362164227352e-3
"Dice.dice_hard/mh by time/monad-bayes sampler/15104",0.39209645261334414,0.39106744452931597,0.39308474540622873,1.739599548107039e-3,1.3113443526178521e-3,2.4795712200126867e-3
"Dice.dice_hard/mh by time/monad-bayes sampler/22144",0.5743611409010183,0.5698404257083832,0.5769867077653343,5.18205438702986e-3,3.4253902624284027e-3,7.13728187150982e-3
"Dice.dice_hard/mh by time/monad-bayes sampler/29184",0.7612152714313075,0.7557781686880337,0.7762009954763871,1.2422796515385694e-2,1.9420303414773602e-3,1.8724287516717262e-2
"Dice.dice_hard/mh by time/monad-bayes sampler/36224",0.9450079576506302,0.9417828456742381,0.9476224906325736,3.985231415679072e-3,2.790746276512982e-3,5.514504122631977e-3
"Dice.dice_hard/mh by time/monad-bayes sampler/43264",1.128171627910747,1.124594248273203,1.1319586871395928,4.781545780364953e-3,2.661400405055982e-3,6.610141355850378e-3
"Dice.dice_hard/mh by time/monad-bayes sampler/50304",1.3077306801867161,1.3031696306908098,1.310234188197586,4.648482290823068e-3,2.046136965227998e-3,6.8561390522419476e-3
"Dice.dice_hard/mh by time/monad-bayes sampler/57344",1.4854989172541284,1.4806531963449632,1.4925655198175098,6.728301628147297e-3,2.3948266147446225e-3,8.795886470552393e-3
"Dice.dice_hard/mh by time/monad-bayes sampler/64384",1.6829097186786435,1.6787319753808865,1.6885523240073457,5.569434064584307e-3,2.088376972897668e-3,7.559707897362832e-3
"Dice.dice_hard/mh by time/random-fu sampler/1024",2.3388515147583142e-2,2.332230054866438e-2,2.3466489784246092e-2,2.3722051710391726e-4,1.9556120315030408e-4,2.8886412940529643e-4
