monad-bayes-0.1.0.0: benchmarks
Running 1 benchmarks...
Benchmark monad-bayes-bench: RUNNING...

model,reference,algorithm,sampler,test,1024,8064,15104,22144,29184,36224,43264,50304,57344,64384
Dice.dice,Dice.dice,mh by time,monad-bayes sampler,KL divergence,1.3707603609110766e-2,5.47189028131714e-3,1.4031160406296368e-3,8.559878984360364e-4,8.678283659452493e-4,4.293347898723096e-4,4.919624382122156e-4,4.8538880376175773e-4,2.635639643225721e-4,2.6109614004570035e-4
Dice.dice,Dice.dice,mh by time,monad-bayes sampler,KL divergence,1.6219097341914603e-2,1.2726546354542767e-3,1.1120044129009732e-3,5.186306754586836e-4,5.388033728407864e-4,6.040416566048046e-4,4.961379925295465e-4,2.6421814138679375e-4,2.005611596636956e-4,2.3181130000042135e-4
Dice.dice,Dice.dice,mh by time,monad-bayes sampler,KL divergence,2.7019756377479654e-2,3.3637879847046442e-3,1.5975824517460273e-3,1.4607008239731435e-3,8.111532193557204e-4,6.114653939180358e-4,5.849334591332467e-4,5.603655348891101e-4,4.546149026967471e-4,2.713143765770076e-4
Dice.dice,Dice.dice,mh by time,monad-bayes sampler,KL divergence,3.0043400004955697e-2,2.352992580626887e-3,1.616622904291038e-3,1.1974608317857041e-3,7.376860839197205e-4,8.581636709472225e-4,5.824264250375864e-4,4.5839468972252e-4,4.0121679511978607e-4,3.0176506818497124e-4
Dice.dice,Dice.dice,mh by time,monad-bayes sampler,KL divergence,1.9809036426839993e-2,2.9015640219728182e-3,1.4369370124844723e-3,1.1711983502723348e-3,1.1565766896929701e-3,6.599956150861473e-4,4.966289677896877e-4,3.689412746044405e-4,3.5262678797850757e-4,3.655268066939722e-4
Dice.dice,Dice.dice,mh by time,monad-bayes sampler,KL divergence,6.278658653986867e-2,3.4342854590365163e-3,1.665387428158296e-3,8.351460410764812e-4,8.83650290477292e-4,4.456914085449004e-4,4.2503645241708215e-4,4.783653467465253e-4,4.62552642055424e-4,4.5074072969991376e-4
Dice.dice,Dice.dice,mh by time,monad-bayes sampler,KL divergence,1.6884200502161946e-2,1.837172273777978e-3,1.1769671023469889e-3,1.0327995409768675e-3,3.8579540000963585e-4,2.838246047002005e-4,2.7893561606349147e-4,2.575723482733888e-4,2.632940322415138e-4,1.9257037303153213e-4
Dice.dice,Dice.dice,mh by time,monad-bayes sampler,KL divergence,3.311451228523487e-2,2.6864281927092533e-3,1.3324812729621324e-3,7.032697756037987e-4,5.530129386617057e-4,2.4809230360575674e-4,2.575556850318072e-4,2.0591399276644257e-4,2.736970735932153e-4,3.093983012591336e-4
Dice.dice,Dice.dice,mh by time,monad-bayes sampler,KL divergence,4.7987732899077e-2,3.3976026869737878e-3,2.284900855732726e-3,1.4273150046016925e-3,1.447867726793287e-3,1.0770016516582497e-3,1.0792366722844554e-3,9.685030664983064e-4,9.987398292216753e-4,6.886272582532859e-4
Dice.dice,Dice.dice,mh by time,monad-bayes sampler,KL divergence,1.296139837491279e-2,2.4334949235312216e-3,1.6405288995497505e-3,1.1534008059170642e-3,9.084420654425494e-4,7.415505398472065e-4,5.04595899760826e-4,3.569114436488978e-4,3.379656889751792e-4,3.5841112312277195e-4
Dice.dice,Dice.dice,mh by time,monad-bayes sampler,KL divergence,2.5190054957302015e-2,2.7580804477560948e-3,9.037074202009651e-4,4.725676660017283e-4,5.49635920350557e-4,5.488386783489402e-4,4.1780246517149057e-4,4.64095986116624e-4,3.491621332181116e-4,3.1306285160331723e-4
Dice.dice,Dice.dice,mh by time,monad-bayes sampler,KL divergence,4.804751852407385e-2,3.2506119672811953e-3,1.1360412026880798e-3,7.903122845799471e-4,7.089959563995649e-4,4.4643410787859365e-4,3.5257596011596963e-4,2.63882889507339e-4,1.746827534556357e-4,1.5083953040492769e-4
Dice.dice,Dice.dice,mh by time,monad-bayes sampler,KL divergence,2.1937225589379623e-2,2.387093409003727e-3,7.782907663291112e-4,9.684857674886318e-4,8.271570860896551e-4,5.938831370513038e-4,5.305829509997128e-4,4.557704732137897e-4,3.5895720032831435e-4,3.4959917002930154e-4
Dice.dice,Dice.dice,mh by time,monad-bayes sampler,KL divergence,2.4922890724087553e-2,1.5467235011380166e-3,1.0702607853644483e-3,8.880917526647167e-4,6.117403635404313e-4,4.2662595113342915e-4,3.4073385326601754e-4,3.4222071710950043e-4,2.964585108315288e-4,3.411189178299849e-4
Dice.dice,Dice.dice,mh by time,monad-bayes sampler,KL divergence,2.378275098516252e-2,1.6952316826101335e-3,6.480728653514128e-4,6.776790998612853e-4,7.182765126128618e-4,5.754394749898221e-4,4.927812757407079e-4,4.2530221628128126e-4,3.1170057927988365e-4,3.123763866524872e-4
Dice.dice,Dice.dice,mh by time,monad-bayes sampler,KL divergence,1.2706980417095046e-2,1.4649320428362462e-3,1.1926094393020907e-3,6.244556219339002e-4,6.887472215225981e-4,5.389942271288696e-4,4.6681211251706217e-4,4.074525132050584e-4,3.5955325330694544e-4,2.9783178336811937e-4
Dice.dice,Dice.dice,mh by time,monad-bayes sampler,KL divergence,1.8302295071656427e-2,1.5921762583745456e-3,1.047512274691063e-3,8.503207901870725e-4,6.061108276290332e-4,3.260800282727372e-4,3.5653658481113004e-4,3.222181877999156e-4,3.263884144989629e-4,3.3827907085851917e-4
Dice.dice,Dice.dice,mh by time,monad-bayes sampler,KL divergence,2.2664722268360575e-2,2.154510937984708e-3,1.9477293250449107e-3,1.6473576990917633e-3,1.0826457369169222e-3,7.254371703445861e-4,7.298578980307272e-4,7.284994882559725e-4,5.980615158953192e-4,4.527477555262929e-4
Dice.dice,Dice.dice,mh by time,monad-bayes sampler,KL divergence,2.8416312274606642e-2,1.455623846717016e-3,1.0268482960366218e-3,8.772685172958118e-4,4.178592134165144e-4,2.942773279676044e-4,3.1603455448273607e-4,2.524190552103034e-4,2.7967870045494736e-4,2.7869416687733537e-4
Dice.dice,Dice.dice,mh by time,monad-bayes sampler,KL divergence,2.0561251410096543e-2,1.996694260164022e-3,8.931911177008027e-4,1.0564862505101345e-3,7.160834729759132e-4,5.561172586284059e-4,6.121484023412111e-4,4.656019508274386e-4,3.786035092404765e-4,4.5219426154743145e-4
Dice.dice,Dice.dice,mh by time,monad-bayes sampler,KL divergence,1.962604653052538e-2,2.4231959139504977e-3,1.078634461903978e-3,1.3178714225358461e-3,7.935238255559625e-4,7.07743756433173e-4,4.190581033554924e-4,3.669089852040997e-4,3.168411656539622e-4,2.834999949326728e-4
Dice.dice,Dice.dice,mh by time,monad-bayes sampler,KL divergence,2.387425967421961e-2,2.229262341414342e-3,7.840088507848664e-4,5.745116901511155e-4,3.622189823630626e-4,3.953368466721545e-4,4.096406305807781e-4,2.6814337638519226e-4,2.2706727261240003e-4,1.6326503149108624e-4
Dice.dice,Dice.dice,mh by time,monad-bayes sampler,KL divergence,1.3091151583857794e-2,2.15653668724902e-3,1.3014102907126126e-3,5.69707030057076e-4,4.830397563713874e-4,3.985398813509188e-4,5.436509460127373e-4,5.289503226981147e-4,4.797346223904622e-4,3.3638580784330215e-4
Dice.dice,Dice.dice,mh by time,monad-bayes sampler,KL divergence,3.897060185513787e-2,7.262583710830361e-3,1.6195687086500374e-3,9.415705668180242e-4,1.3161265020981438e-3,1.094597214792886e-3,9.405042964808695e-4,8.249628937278121e-4,7.401390790398809e-4,4.742658498387e-4
Dice.dice,Dice.dice,mh by time,monad-bayes sampler,KL divergence,1.2524380249957974e-2,1.9444929090398071e-3,1.6830990857617208e-3,1.3313414536764389e-3,1.1902555359328078e-3,9.11900744511746e-4,6.004741621377367e-4,5.983118331921005e-4,4.6194558457617844e-4,4.572303426992656e-4
Dice.dice,Dice.dice,mh by time,monad-bayes sampler,KL divergence,2.3181088212221538e-2,3.7457436741795123e-3,1.498825830198363e-3,1.0211890272218333e-3,6.340556158993081e-4,3.474181981795733e-4,3.1809348247067266e-4,2.86054121007401e-4,2.111474465391889e-4,1.7077168650869644e-4
Dice.dice,Dice.dice,mh by time,monad-bayes sampler,KL divergence,1.6488168535190112e-2,2.2262993148886865e-3,9.648647859075042e-4,6.344543091732168e-4,3.9369897886078046e-4,3.4796527044130373e-4,3.5116310096157594e-4,3.1418768839651276e-4,3.739409524847549e-4,4.1152915628553e-4
Dice.dice,Dice.dice,mh by time,monad-bayes sampler,KL divergence,3.461007443107512e-2,2.4928223396256583e-3,1.1237851801321815e-3,6.972421882977833e-4,9.697359177308885e-4,7.81129429932803e-4,7.771575053393422e-4,8.347724113117857e-4,8.231632012208142e-4,6.947133169642881e-4
Dice.dice,Dice.dice,mh by time,monad-bayes sampler,KL divergence,1.4504968130581752e-2,2.2070873872627574e-3,9.727074782545265e-4,7.773732386010684e-4,8.598255399995989e-4,6.243224416813785e-4,8.563051509567613e-4,8.95109903754973e-4,6.617826554332522e-4,4.456236625994602e-4
Dice.dice,Dice.dice,mh by time,monad-bayes sampler,KL divergence,1.4163872962700367e-2,2.364236254373912e-3,1.0449538986343032e-3,7.058406823276689e-4,6.322076022434029e-4,3.8560963140669806e-4,2.588532969082924e-4,3.100977570657476e-4,2.952787654427281e-4,2.8097419272844987e-4
Dice.dice,Dice.dice,mh by time,monad-bayes sampler,KL divergence,2.487270206586035e-2,3.5396419660840488e-3,1.108055876355402e-3,9.729682681934003e-4,7.731777429252289e-4,6.240882123350868e-4,4.253730067808986e-4,2.6825252379284413e-4,2.8067872550302086e-4,2.971685484375488e-4
Dice.dice,Dice.dice,mh by time,monad-bayes sampler,KL divergence,1.2285088755079743e-2,7.106309732844381e-3,3.269904099445053e-3,2.8770488714843162e-3,2.087805381053383e-3,1.6112647564742579e-3,1.5614446669354924e-3,1.0655413684988143e-3,8.967872588268465e-4,7.48193474006143e-4
Dice.dice,Dice.dice,mh by time,monad-bayes sampler,KL divergence,1.641550592571436e-2,2.169985149024234e-3,9.085563338928221e-4,6.155284318605159e-4,5.889613130705349e-4,4.1874780906262806e-4,4.6854591085873415e-4,3.264060393871693e-4,2.964061186445389e-4,3.402310105711435e-4
Dice.dice,Dice.dice,mh by time,monad-bayes sampler,KL divergence,1.3683381754286301e-2,2.0270820575472993e-3,1.704583943348955e-3,1.5804068558384653e-3,9.021306362616892e-4,1.0403428956594336e-3,6.244429741850816e-4,5.34459366916367e-4,7.146131285642281e-4,5.303785071965106e-4
Dice.dice,Dice.dice,mh by time,random-fu sampler,KL divergence,1.2739212832405351e-2,2.1794313104698234e-3,1.2494063251322109e-3,1.0149408830539951e-3,5.359795239721039e-4,3.638671781268427e-4,4.1104274463865935e-4,3.0954334461519295e-4,2.351705865386162e-4,2.0148407279353033e-4
Dice.dice,Dice.dice,mh by time,random-fu sampler,KL divergence,2.7468015749419285e-2,3.966910140719022e-3,1.8077292365322399e-3,1.124081737181048e-3,5.594099641764928e-4,4.0862203544930265e-4,4.4102169896166106e-4,4.0289428795409047e-4,4.1302302846162275e-4,3.589911151411145e-4
Dice.dice,Dice.dice,mh by time,random-fu sampler,KL divergence,2.1628532806388396e-2,1.5608001617462488e-3,8.677799807251649e-4,6.737437467576389e-4,4.355896917380499e-4,2.84659211418087e-4,2.0679300340910707e-4,1.1501837734880996e-4,1.810978834854299e-4,1.378133152951811e-4
Dice.dice,Dice.dice,mh by time,random-fu sampler,KL divergence,1.7219783707115438e-2,1.242386717908455e-3,5.634502648608039e-4,7.114738247308373e-4,6.700563736323916e-4,4.004033292878754e-4,5.830720598965842e-4,4.6147226046156707e-4,4.599070466421227e-4,3.4148780618788025e-4
Dice.dice,Dice.dice,mh by time,random-fu sampler,KL divergence,9.96159324417013e-3,1.5283010080819437e-3,1.146418660805379e-3,5.514175497849203e-4,4.988153207143288e-4,3.259962700371519e-4,2.3157709939210946e-4,1.775831243791211e-4,1.9857528434574418e-4,3.096556168184894e-4
